RunTime,RealTime,RouteLength
33.1,6909.96,28016
36.1,8831.07,27950
40.7,5772.05,26641
37.2,7318.17,27888
39.1,7082.17,27658
37.4,9217.90,27550
37.6,7269.54,27561
40.2,7018.51,28288
40.6,6818.40,26711
33.3,6614.95,27227
42.3,6822.17,27311
40.0,6379.59,29038
37.7,6760.13,28341
40.3,6754.23,27711
36.8,6701.42,27169
43.1,6770.33,28625
43.1,7594.64,28016
32.1,6324.46,28897
40.0,8812.58,27716
31.6,6769.68,29211
43.2,6612.70,25580
39.8,6502.43,27375
37.5,8986.88,28541
44.5,7366.15,28961
37.0,7615.82,28963
36.2,6163.54,28286
31.9,7083.01,28316
41.0,7523.29,27241
37.0,8574.56,27705
41.9,9272.22,27594
33.1,6655.70,27552
42.5,6883.49,27808
39.2,6436.96,29044
43.3,6548.35,26444
36.3,8166.29,26627
41.9,6693.47,27244
43.6,8514.34,26752
31.6,6386.13,27725
42.9,7824.62,26780
41.4,9049.04,28811
40.2,6599.78,27038
29.2,7156.64,28141
39.8,6731.64,27986
33.8,8747.47,27102
37.1,9275.71,27308
39.9,7112.67,26497
34.7,6534.46,27877
39.0,8237.04,29327
41.8,7511.60,26966
34.9,6600.02,27450
29.9,9194.54,28422
37.9,6506.38,27355
33.8,6039.23,27466
39.2,7650.76,28641
33.3,8491.37,27897
32.1,8939.53,27691
41.2,6836.12,27883
33.9,6317.22,27236
35.5,6160.55,26283
34.3,7766.37,27755
43.3,7346.80,26655
42.2,6013.00,26550
39.2,6846.30,28125
42.4,7038.64,27466
33.8,7307.39,27686
41.9,6856.57,26525
40.1,7617.16,28191
42.2,7062.88,28450
38.2,7716.44,27500
28.5,9273.64,28805
30.7,6628.17,26263
45.6,8694.10,28463
35.3,6465.28,27463
40.6,6711.19,27669
35.3,6273.80,27502
39.3,7696.08,29136
40.8,6574.63,26769
43.5,7294.82,27988
43.9,6874.95,28527
29.6,9070.25,26338
41.0,6253.69,27574
42.2,7173.57,27116
41.9,7216.83,27225
32.5,7085.92,28938
38.4,6732.21,27972
37.9,8800.22,26850
40.4,7342.82,26952
35.7,7068.87,26405
42.2,6992.83,27483
35.7,6586.14,28205
39.9,6655.70,26669
29.6,6886.20,28300
31.5,8598.38,28800
32.0,7253.36,27069
40.1,8107.17,27227
40.5,6203.36,27508
43.1,6440.66,29236
30.1,7063.02,27158
43.8,6339.11,28413
37.6,6693.27,28127
43.1,7927.07,28358
42.8,7869.74,28477
37.1,7079.51,26997
33.2,8831.07,28041
35.5,6412.84,29136
44.8,6173.38,27077
27.8,6766.41,29172
29.5,6430.71,27847
28.3,6302.01,27702
28.3,7148.29,27113
28.1,9130.86,29850
28.7,7594.64,28305
28.6,6215.91,27380
29.1,8598.94,28161
28.4,8804.17,27433
30.3,6572.23,27769
28.4,6681.31,28713
27.2,6058.90,27577
28.7,8547.32,28505
27.3,7149.38,26986
29.2,7063.02,27352
29.4,7973.39,27097
28.7,7833.38,27002
28.0,6356.55,26730
